"MANDT","DIMID","LENG","MASS","TIMEX","ECURR","TEMP","MOLQU","LIGHT","MSSIE","TEMP_DEP","PRESS_DEP"
"000","AAAADL","0","0","0","0","0","0","0","","",""
"000","ACBAC","-3","0","0","0","0","1","0","C36","",""
"000","ACCEL","1","0","-2","0","0","0","0","MS2","",""
"000","ACTVTY","0","0","-1","0","0","0","-10","BQ","",""
"000","CAPACI","-2","-1","4","2","0","0","0","F","",""
"000","CONDUC","-3","-1","3","2","0","0","0","D10","",""
"000","DENSI","-3","1","0","0","0","0","0","KGV","",""
"000","DOSRAT","2","0","-3","0","0","0","0","SVS","",""
"000","ECURR","0","0","0","1","0","0","0","A","",""
"000","ENERGY","2","1","-2","0","0","0","0","J","",""
"000","EVARA","-2","1","-1","0","0","0","0","","",""
"000","FORCE","1","1","-2","0","0","0","0","N","",""
"000","FREQU","0","0","-1","0","0","0","0","HZ","",""
"000","HYDROL","3","0","-1","0","0","-1","0","LMS","",""
"000","LENGTH","1","0","0","0","0","0","0","M","",""
"000","LIGHT","0","0","0","0","0","0","1","CD","",""
"000","MAGNFD","0","1","-2","-1","0","0","0","TES","",""
"000","MAPER","-2","0","2","0","0","0","0","kgj","",""
"000","MASFLO","0","1","-1","0","0","0","0","KGS","",""
"000","MASS","0","1","0","0","0","0","0","KG","",""
"000","MASSBD","-2","1","0","0","0","0","0","KGF","",""
"000","MOENER","2","1","-2","0","0","1","0","JMO","",""
"000","MOLMAS","0","1","0","0","0","-1","0","KGM","",""
"000","MOLQU","0","0","0","0","0","1","0","MOL","",""
"000","MPROPO","0","0","0","0","0","0","11","KGK","",""
"000","PERMEA","-2","1","-1","0","0","0","10","PMR","",""
"000","POINTS","0","0","0","0","0","0","9","P","",""
"000","POWER","2","1","-3","0","0","0","0","W","",""
"000","PRESS","-1","1","-2","0","0","0","0","PA","",""
"000","PROPOR","0","0","0","0","0","0","10","1","",""
"000","RESIST","2","1","-3","-2","0","0","0","OHM","",""
"000","SPAEQU","0","-1","0","0","0","1","0","MOK","",""
"000","SPARAD","0","-1","-1","0","0","0","0","BQK","",""
"000","SPEED","1","0","-1","0","0","0","0","M/S","",""
"000","SPENER","2","0","-2","0","0","0","0","JKG","",""
"000","SPHCAP","2","0","-2","0","-1","0","0","JKK","X",""
"000","SPREST","3","1","-3","-2","0","0","0","OM","",""
"000","STEXKZ","0","1","-3","0","0","0","0","MPZ","",""
"000","SURCNT","-2","0","-1","0","0","0","0","BM2","",""
"000","SURFAC","2","0","0","0","0","0","0","M2","",""
"000","SURFTE","0","1","-2","0","0","0","0","NM","",""
"000","SURINV","-2","0","0","0","0","0","0","M2I","",""
"000","TEMP","0","0","0","0","1","0","0","K","",""
"000","TEMPRT","0","0","-1","0","1","0","0","KMS","",""
"000","THCOND","1","1","-3","0","-1","0","0","WMK","X",""
"000","TIME","0","0","1","0","0","0","0","S","",""
"000","TKONZ","-3","0","0","0","0","0","0","TM3","",""
"000","VISDYN","-1","1","-1","0","0","0","0","PAS","",""
"000","VISKIN","2","0","-1","0","0","0","0","M2S","",""
"000","VOLFLO","3","0","-1","0","0","0","0","M3S","",""
"000","VOLTAG","2","1","-3","-1","0","0","0","V","",""
"000","VOLUME","3","0","0","0","0","0","0","M3","",""
"000","VPROPO","0","0","0","0","0","0","12","KMK","",""
